FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Confidence in Policing,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Policing Role
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,53.89,Very or fairly confident,All,All,Female,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,32.21,Not very or not at all confident,All,All,Female,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,39.38,Not very or not at all confident,All,All,Male,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,57.92,Very or fairly confident,All,All,Female,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.6,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.12,Not very or not at all confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.31,Not very or not at all confident,All,All,Female,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.98,Very or fairly confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.37,Very or fairly confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.73,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.13,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,60.18,Very or fairly confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,30.59,Not very or not at all confident,All,All,Male,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,61.95,Very or fairly confident,All,All,Female,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,18.07,Not very or not at all confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.52,Not very or not at all confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,70.14,Very or fairly confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.87,Very or fairly confident,All,All,All,No limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.36,Not very or not at all confident,Rented,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.4,Not very or not at all confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,25.92,Not very or not at all confident,All,All,All,Limiting condition,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.91,Very or fairly confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.84,Very or fairly confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.56,Not very or not at all confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,17.98,Not very or not at all confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,72.37,Very or fairly confident,All,With Children,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.78,Not very or not at all confident,All,Adults,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,19.51,Not very or not at all confident,All,All,Male,All,Investigate incidents after they occur
